COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
OECDTOT,BALANCE,TOTPRODS,RECYCLED,DEC2022,112.799
OECDTOT,BALANCE,TOTPRODS,RECYCLED,YTD2021,1705.369
OECDTOT,BALANCE,TOTPRODS,RECYCLED,YTD2022,1325.136
OECDTOT,BALANCE,TOTPRODS,REFFUEL,2020,73765.519
OECDTOT,BALANCE,TOTPRODS,REFFUEL,2021,76448.857
OECDTOT,BALANCE,TOTPRODS,REFFUEL,4Q2022,19529.952
OECDTOT,BALANCE,TOTPRODS,REFFUEL,DEC2021,7072.864
OECDTOT,BALANCE,TOTPRODS,REFFUEL,DEC2022,6787.608
OECDTOT,BALANCE,TOTPRODS,REFFUEL,YTD2021,76448.857
OECDTOT,BALANCE,TOTPRODS,REFFUEL,YTD2022,79455.995
OECDTOT,BALANCE,TOTPRODS,REFGROUT,2020,1751305.179
OECDTOT,BALANCE,TOTPRODS,REFGROUT,2021,1823391.197
OECDTOT,BALANCE,TOTPRODS,REFGROUT,4Q2022,480710.147
OECDTOT,BALANCE,TOTPRODS,REFGROUT,DEC2021,163770.767
OECDTOT,BALANCE,TOTPRODS,REFGROUT,DEC2022,162148.735
OECDTOT,BALANCE,TOTPRODS,REFGROUT,YTD2021,1823391.197
OECDTOT,BALANCE,TOTPRODS,REFGROUT,YTD2022,1897564.317
OECDTOT,BALANCE,TOTPRODS,STATDIFF,2020,28839.095
OECDTOT,BALANCE,TOTPRODS,STATDIFF,2021,43084.142
OECDTOT,BALANCE,TOTPRODS,STATDIFF,4Q2022,4277.778
OECDTOT,BALANCE,TOTPRODS,STATDIFF,DEC2021,1288.703
OECDTOT,BALANCE,TOTPRODS,STATDIFF,DEC2022,202.908
OECDTOT,BALANCE,TOTPRODS,STATDIFF,YTD2021,43084.142
OECDTOT,BALANCE,TOTPRODS,STATDIFF,YTD2022,20057.076
OECDTOT,BALANCE,TOTPRODS,STCHANAT,2020,8653.813
OECDTOT,BALANCE,TOTPRODS,STCHANAT,2021,-24345.524
OECDTOT,BALANCE,TOTPRODS,STCHANAT,4Q2022,5547.547
OECDTOT,BALANCE,TOTPRODS,STCHANAT,DEC2021,-3487.215
OECDTOT,BALANCE,TOTPRODS,STCHANAT,DEC2022,248.92
OECDTOT,BALANCE,TOTPRODS,STCHANAT,YTD2021,-24345.524
OECDTOT,BALANCE,TOTPRODS,STCHANAT,YTD2022,3044.456
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,2020,617237.984
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,2021,649894.227
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,4Q2022,168100.329
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,DEC2021,58500.924
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,DEC2022,58772.769
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,YTD2021,649894.227
OECDTOT,BALANCE,TOTPRODS,TOTEXPSB,YTD2022,672357.551
OECDTOT,BALANCE,TOTPRODS,TOTIMPSB,2020,560512.964
OECDTOT,BALANCE,TOTPRODS,TOTIMPSB,2021,611284.692
OECDTOT,BALANCE,TOTPRODS,TOTIMPSB,4Q2022,156831.508
OECDTOT,BALANCE,TOTPRODS,TOTIMPSB,DEC2021,53198.169
OECDTOT,BALANCE,TOTPRODS,TOTIMPSB,DEC2022,52957.749
OECDTOT,BALANCE,TOTPRODS,TOTIMPSB,YTD2021,611284.692
OECDTOT,BALANCE,TOTPRODS,TOTIMPSB,YTD2022,607411.691
OECDAM,BALANCE,CRNGFEED,INDPROD,2020,1051021.348
OECDAM,BALANCE,CRNGFEED,INDPROD,2021,1094390.454
OECDAM,BALANCE,CRNGFEED,INDPROD,4Q2022,290134.017
OECDAM,BALANCE,CRNGFEED,INDPROD,DEC2021,93872.886
OECDAM,BALANCE,CRNGFEED,INDPROD,DEC2022,96744.659
OECDAM,BALANCE,CRNGFEED,INDPROD,YTD2021,1094390.454
OECDAM,BALANCE,CRNGFEED,INDPROD,YTD2022,1120942.003
OECDAO,BALANCE,CRNGFEED,INDPROD,2020,21531.397
OECDAO,BALANCE,CRNGFEED,INDPROD,2021,20599.899
OECDAO,BALANCE,CRNGFEED,INDPROD,4Q2022,4886.865
OECDAO,BALANCE,CRNGFEED,INDPROD,DEC2021,1725.518
OECDAO,BALANCE,CRNGFEED,INDPROD,DEC2022,1676.37
OECDAO,BALANCE,CRNGFEED,INDPROD,YTD2021,20599.899
OECDAO,BALANCE,CRNGFEED,INDPROD,YTD2022,19193.347
OECDEUR,BALANCE,CRNGFEED,INDPROD,2020,161453.123
OECDEUR,BALANCE,CRNGFEED,INDPROD,2021,156132.569
OECDEUR,BALANCE,CRNGFEED,INDPROD,4Q2022,37380.148
OECDEUR,BALANCE,CRNGFEED,INDPROD,DEC2021,13553.578
OECDEUR,BALANCE,CRNGFEED,INDPROD,DEC2022,12587.163
OECDEUR,BALANCE,CRNGFEED,INDPROD,YTD2021,156132.569
OECDEUR,BALANCE,CRNGFEED,INDPROD,YTD2022,146667.652
OECDTOT,BALANCE,CRNGFEED,INDPROD,2020,1234005.868
OECDTOT,BALANCE,CRNGFEED,INDPROD,2021,1271122.922
OECDTOT,BALANCE,CRNGFEED,INDPROD,4Q2022,332401.03
OECDTOT,BALANCE,CRNGFEED,INDPROD,DEC2021,109151.982
OECDTOT,BALANCE,CRNGFEED,INDPROD,DEC2022,111008.192
